Paysign PE Ratio Historical Data,Paysign PE Ratio Historical Data,Paysign PE Ratio Historical Data,Paysign PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.36,,15.73
2024-09-30,3.67,$0.15,24.47
2024-06-30,4.31,$0.14,30.79
2024-03-31,3.66,$0.13,28.15
2023-12-31,2.8,$0.12,23.33
2023-09-30,1.95,$0.03,65.0
2023-06-30,2.45,$0.03,81.67
2023-03-31,3.63,$0.03,121.0
2022-12-31,2.58,$0.02,129.0
2022-09-30,2.37,$0.01,237.0
2022-06-30,1.52,$-0.02,0.0
2022-03-31,1.97,$-0.04,0.0
2021-12-31,1.6,$-0.06,0.0
2021-09-30,2.7,$-0.15,0.0
2021-06-30,3.18,$-0.26,0.0
2021-03-31,4.37,$-0.24,0.0
2020-12-31,4.64,$-0.18,0.0
2020-09-30,5.68,$-0.06,0.0
2020-06-30,9.71,$0.11,88.27
2020-03-31,5.16,$0.14,36.86
2019-12-31,10.15,$0.13,78.08
2019-09-30,10.1,$0.11,91.82
2019-06-30,13.37,$0.08,167.13
