Opus Genetics PE Ratio Historical Data,Opus Genetics PE Ratio Historical Data,Opus Genetics PE Ratio Historical Data,Opus Genetics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.15,,0.0
2024-09-30,1.31,$-1.09,0.0
2024-06-30,1.53,$-0.55,0.0
2024-03-31,2.01,$-0.49,0.0
2023-12-31,3.01,$-0.48,0.0
2023-09-30,3.35,$1.31,2.56
2023-06-30,4.34,$0.84,5.17
2023-03-31,3.75,$0.83,4.52
2022-12-31,3.53,$0.76,4.64
2022-09-30,2.01,$-1.17,0.0
2022-06-30,1.92,$-1.20,0.0
2022-03-31,3.24,$-1.47,0.0
2021-12-31,3.73,$-4.69,0.0
2021-09-30,5.15,$-4.34,0.0
2021-06-30,5.28,$-4.09,0.0
2021-03-31,5.81,$-6.05,0.0
2020-12-31,6.49,$-3.08,0.0
2020-09-30,8.32,$-3.08,0.0
2020-06-30,11.36,$-5.04,0.0
2020-03-31,7.2,$-5.00,0.0
2019-12-31,7.64,$-6.88,0.0
2019-09-30,8.2,$-10.72,0.0
2019-06-30,20.64,$-16.92,0.0
2019-03-31,24.48,$-20.25,0.0
2018-12-31,44.64,$-21.13,0.0
2018-09-30,85.44,$-21.61,0.0
2018-06-30,67.68,$-15.37,0.0
2018-03-31,72.48,$-8.16,0.0
2017-12-31,96.96,$-48.02,0.0
2017-09-30,116.16,$-43.70,0.0
2017-06-30,137.28,$-46.58,0.0
2017-03-31,244.8,$-52.82,0.0
2016-12-31,68.11,$-19.21,0.0
2016-09-30,100.8,$-28.81,0.0
2016-06-30,120.58,$-33.61,0.0
2016-03-31,158.45,$-38.42,0.0
2015-12-31,174.24,$-38.42,0.0
2015-09-30,249.6,$-33.61,0.0
2015-06-30,291.7,$-28.81,0.0
2015-03-31,350.4,$-19.21,0.0
2014-12-31,336.0,$-52.82,0.0
2014-09-30,388.8,$-52.82,0.0
2014-06-30,417.6,$-57.62,0.0
2014-03-31,518.4,$-72.03,0.0
2013-12-31,244.8,$-33.61,0.0
2013-09-30,218.35,$-28.81,0.0
2013-06-30,213.12,$-19.21,0.0
2013-03-31,146.4,$-4.80,0.0
2012-12-31,148.8,$-9.60,0.0
2012-09-30,242.4,$-9.60,0.0
2012-06-30,153.6,$-19.21,0.0
2012-03-31,254.4,$-48.02,0.0
2011-12-31,180.48,$-62.43,0.0
2011-09-30,480.0,$-105.64,0.0
2011-06-30,595.2,$-110.45,0.0
2011-03-31,566.4,$-100.84,0.0
2010-12-31,537.6,$-86.43,0.0
2010-09-30,556.8,$-52.82,0.0
2010-06-30,686.4,$-48.02,0.0
2010-03-31,777.6,$-43.22,0.0
2009-12-31,326.4,$-48.02,0.0
