Anika Therapeutics PE Ratio Historical Data,Anika Therapeutics PE Ratio Historical Data,Anika Therapeutics PE Ratio Historical Data,Anika Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.62,,0.0
2024-12-31,16.46,$-2.35,0.0
2024-09-30,24.7,$-6.65,0.0
2024-06-30,25.33,$-5.07,0.0
2024-03-31,25.4,$-5.25,0.0
2023-12-31,22.66,$-5.65,0.0
2023-09-30,18.63,$-1.69,0.0
2023-06-30,25.98,$-1.53,0.0
2023-03-31,28.72,$-1.54,0.0
2022-12-31,29.6,$-1.03,0.0
2022-09-30,23.8,$-1.09,0.0
2022-06-30,22.32,$-0.76,0.0
2022-03-31,25.11,$-0.11,0.0
2021-12-31,35.83,$0.29,123.55
2021-09-30,42.56,$-0.41,0.0
2021-06-30,43.29,$-0.90,0.0
2021-03-31,40.79,$-1.89,0.0
2020-12-31,45.26,$-1.85,0.0
2020-09-30,35.39,$-0.47,0.0
2020-06-30,37.73,$0.62,60.85
2020-03-31,28.91,$1.83,15.8
2019-12-31,51.85,$1.90,27.29
2019-09-30,54.89,$2.16,25.41
2019-06-30,40.62,$2.05,19.81
2019-03-31,30.24,$2.06,14.68
2018-12-31,33.61,$1.29,26.05
2018-09-30,42.18,$1.28,32.95
2018-06-30,32.0,$1.21,26.45
2018-03-31,49.72,$1.29,38.54
2017-12-31,53.91,$2.12,25.43
2017-09-30,58.0,$2.13,27.23
2017-06-30,49.34,$2.26,21.83
2017-03-31,43.44,$2.07,20.99
2016-12-31,48.96,$2.15,22.77
2016-09-30,47.85,$2.33,20.54
2016-06-30,53.65,$2.29,23.43
2016-03-31,44.72,$2.23,20.05
2015-12-31,38.16,$2.01,18.99
2015-09-30,31.83,$1.80,17.68
2015-06-30,33.03,$1.65,20.02
2015-03-31,41.17,$1.74,23.66
2014-12-31,40.74,$2.48,16.43
2014-09-30,36.66,$2.41,15.21
2014-06-30,46.33,$2.34,19.8
2014-03-31,41.1,$2.14,19.21
2013-12-31,38.16,$1.38,27.65
2013-09-30,23.89,$1.25,19.11
2013-06-30,17.0,$1.03,16.5
2013-03-31,14.52,$0.89,16.31
2012-12-31,9.94,$0.82,12.12
2012-09-30,15.02,$0.72,20.86
2012-06-30,13.59,$0.83,16.37
2012-03-31,12.54,$0.74,16.95
2011-12-31,9.8,$0.62,15.81
2011-09-30,5.44,$0.51,10.67
2011-06-30,7.12,$0.38,18.74
2011-03-31,8.96,$0.29,30.9
2010-12-31,6.67,$0.32,20.84
2010-09-30,6.01,$0.28,21.46
2010-06-30,5.89,$0.32,18.41
2010-03-31,7.11,$0.32,22.22
2009-12-31,7.63,$0.32,23.84
