Nevro PE Ratio Historical Data,Nevro PE Ratio Historical Data,Nevro PE Ratio Historical Data,Nevro PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.78,,0.0
2024-12-31,3.72,$-3.05,0.0
2024-09-30,5.59,$-1.89,0.0
2024-06-30,8.42,$-2.13,0.0
2024-03-31,14.44,$-2.29,0.0
2023-12-31,21.52,$-2.57,0.0
2023-09-30,19.22,$-2.86,0.0
2023-06-30,25.42,$0.01,2542.0
2023-03-31,36.15,$-0.01,0.0
2022-12-31,39.6,$-0.01,0.0
2022-09-30,46.6,$-0.33,0.0
2022-06-30,43.83,$-3.99,0.0
2022-03-31,72.33,$-3.90,0.0
2021-12-31,81.07,$-3.77,0.0
2021-09-30,116.38,$-3.12,0.0
2021-06-30,165.79,$-1.97,0.0
2021-03-31,139.5,$-2.56,0.0
2020-12-31,173.1,$-2.49,0.0
2020-09-30,139.3,$-2.72,0.0
2020-06-30,119.47,$-3.01,0.0
2020-03-31,99.98,$-2.71,0.0
2019-12-31,117.54,$-3.38,0.0
2019-09-30,85.97,$-3.26,0.0
2019-06-30,64.83,$-3.05,0.0
2019-03-31,62.51,$-2.49,0.0
2018-12-31,38.89,$-1.63,0.0
2018-09-30,57.0,$-1.46,0.0
2018-06-30,79.85,$-1.30,0.0
2018-03-31,86.67,$-1.35,0.0
2017-12-31,69.04,$-1.26,0.0
2017-09-30,90.88,$-1.45,0.0
2017-06-30,74.43,$-1.38,0.0
2017-03-31,93.7,$-1.29,0.0
2016-12-31,72.66,$-1.12,0.0
2016-09-30,104.39,$-1.29,0.0
2016-06-30,73.76,$-1.85,0.0
2016-03-31,56.26,$-2.31,0.0
2015-12-31,67.51,$-2.55,0.0
2015-09-30,46.39,$-2.63,0.0
