Precipio PE Ratio Historical Data,Precipio PE Ratio Historical Data,Precipio PE Ratio Historical Data,Precipio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.78,,0.0
2024-09-30,6.7,$-1.83,0.0
2024-06-30,5.19,$-2.45,0.0
2024-03-31,6.7,$-3.42,0.0
2023-12-31,6.5,$-4.56,0.0
2023-09-30,5.61,$-7.44,0.0
2023-06-30,7.8,$-9.20,0.0
2023-03-31,13.28,$-9.20,0.0
2022-12-31,11.03,$-10.60,0.0
2022-09-30,16.08,$-10.40,0.0
2022-06-30,21.2,$-9.20,0.0
2022-03-31,27.0,$-10.20,0.0
2021-12-31,31.6,$-7.80,0.0
2021-09-30,56.4,$-6.00,0.0
2021-06-30,72.6,$-8.60,0.0
2021-03-31,46.2,$-9.80,0.0
2020-12-31,41.4,$-23.80,0.0
2020-09-30,49.0,$-33.40,0.0
2020-06-30,28.4,$-35.40,0.0
2020-03-31,14.0,$-52.40,0.0
2019-12-31,41.0,$-46.40,0.0
2019-09-30,52.2,$-105.80,0.0
2019-06-30,67.6,$-150.58,0.0
2019-03-31,37.5,$-174.55,0.0
2018-12-31,46.2,$-305.88,0.0
2018-09-30,118.56,$-236.88,0.0
2018-06-30,110.34,$-593.70,0.0
2018-03-31,161.16,"$-5,151.43",0.0
2017-12-31,360.0,"$-5,640.81",0.0
2017-09-30,648.0,"$-5,640.81",0.0
2017-06-30,2700.0,"$-5,953.37",0.0
2017-03-31,6030.0,"$-1,800.90",0.0
2016-12-31,2557.8,"$-2,611.31",0.0
2016-09-30,2538.0,"$-2,611.31",0.0
2016-06-30,4950.0,"$-6,843.43",0.0
2016-03-31,5252.4,"$-9,094.55",0.0
2015-12-31,9630.0,"$-10,895.45",0.0
2015-09-30,8308.8,"$-17,828.92",0.0
2015-06-30,15030.0,"$-13,326.67",0.0
2015-03-31,12960.0,"$-15,757.89",0.0
2014-12-31,18090.0,"$-17,918.97",0.0
2014-09-30,33930.0,"$-11,435.72",0.0
2014-06-30,33660.0,"$-17,471.34",0.0
2014-03-31,41220.0,"$-15,581.69",0.0
2013-12-31,49680.0,"$-14,502.88",0.0
2013-09-30,41040.0,"$-17,295.57",0.0
2013-06-30,43200.0,"$-15,133.63",0.0
2013-03-31,43200.0,"$-12,971.68",0.0
2012-12-31,65880.0,"$-14,052.65",0.0
2012-09-30,102599.99,"$-10,809.73",0.0
2012-06-30,97200.0,"$-9,728.76",0.0
2012-03-31,129599.99,"$-22,700.44",0.0
2011-12-31,139319.99,"$-23,781.41",0.0
2011-09-30,139319.99,"$-25,943.36",0.0
2011-06-30,188999.99,"$-24,862.38",0.0
2011-03-31,95040.0,"$-12,971.68",0.0
2010-12-31,71280.0,"$-7,566.81",0.0
2010-09-30,43200.0,"$-5,404.87",0.0
2010-06-30,52920.0,"$-4,323.89",0.0
2010-03-31,92880.0,"$-3,242.92",0.0
2009-12-31,74520.0,"$-4,323.89",0.0
