China Automotive Systems PE Ratio Historical Data,China Automotive Systems PE Ratio Historical Data,China Automotive Systems PE Ratio Historical Data,China Automotive Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.64,,4.42
2024-09-30,4.6,$1.05,4.38
2024-06-30,2.97,$1.18,2.52
2024-03-31,2.97,$1.29,2.3
2023-12-31,2.7,$1.25,2.16
2023-09-30,3.25,$1.03,3.16
2023-06-30,4.11,$0.96,4.28
2023-03-31,4.37,$0.92,4.75
2022-12-31,4.85,$0.69,7.03
2022-09-30,3.33,$0.71,4.69
2022-06-30,2.26,$0.46,4.91
2022-03-31,2.55,$0.25,10.2
2021-12-31,2.24,$0.35,6.4
2021-09-30,2.73,$0.09,30.28
2021-06-30,4.12,$0.18,22.9
2021-03-31,3.96,$-0.05,0.0
2020-12-31,5.22,$-0.15,0.0
2020-09-30,2.47,$0.01,0.0
2020-06-30,2.42,$0.06,40.27
2020-03-31,1.45,$0.27,5.39
2019-12-31,2.63,$0.32,8.23
2019-09-30,1.71,$0.16,10.66
2019-06-30,2.0,$0.04,49.96
2019-03-31,2.69,$-0.01,0.0
2018-12-31,2.04,$0.08,25.5
2018-09-30,2.95,$-1.05,0.0
2018-06-30,3.61,$-0.90,0.0
2018-03-31,3.92,$-0.65,0.0
2017-12-31,4.01,$-0.61,0.0
2017-09-30,4.35,$0.80,5.43
2017-06-30,4.05,$0.82,4.93
2017-03-31,4.17,$0.71,5.88
2016-12-31,4.48,$0.71,6.31
2016-09-30,3.47,$0.75,4.63
2016-06-30,2.7,$0.70,3.86
2016-03-31,3.88,$0.77,5.04
2015-12-31,3.83,$0.85,4.5
2015-09-30,4.47,$0.91,4.92
2015-06-30,7.04,$1.02,6.9
2015-03-31,6.09,$1.17,5.2
2014-12-31,5.93,$1.15,5.15
2014-09-30,7.68,$1.13,6.79
2014-06-30,7.27,$1.20,6.05
2014-03-31,6.6,$0.99,6.67
2013-12-31,6.63,$0.96,6.91
2013-09-30,6.25,$0.88,7.1
2013-06-30,4.31,$0.69,6.24
2013-03-31,4.03,$0.80,5.04
2012-12-31,3.99,$0.56,7.13
2012-09-30,3.23,$0.57,5.66
2012-06-30,3.43,$0.55,6.23
2012-03-31,5.72,$0.40,14.3
2011-12-31,2.76,$0.66,4.18
2011-09-30,3.95,$0.69,5.72
2011-06-30,7.22,$0.85,8.49
2011-03-31,7.44,$0.99,7.52
2010-12-31,11.39,$1.10,10.35
2010-09-30,12.78,$1.09,11.72
2010-06-30,14.71,$1.11,13.26
2010-03-31,19.31,$1.04,18.57
2009-12-31,15.64,$0.78,20.05
