Perrigo PE Ratio Historical Data,Perrigo PE Ratio Historical Data,Perrigo PE Ratio Historical Data,Perrigo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.49,,0.0
2024-12-31,25.71,$-1.25,0.0
2024-09-30,25.98,$-1.17,0.0
2024-06-30,25.2,$-0.92,0.0
2024-03-31,31.58,$-0.07,0.0
2023-12-31,31.28,$-0.10,0.0
2023-09-30,30.78,$0.05,615.64
2023-06-30,32.46,$-0.42,0.0
2023-03-31,34.0,$-0.96,0.0
2022-12-31,32.07,$-0.96,0.0
2022-09-30,33.28,$-0.63,0.0
2022-06-30,37.6,$-0.70,0.0
2022-03-31,35.38,$-0.65,0.0
2021-12-31,35.56,$-0.35,0.0
2021-09-30,42.97,$-1.88,0.0
2021-06-30,41.39,$-2.57,0.0
2021-03-31,36.35,$-1.70,0.0
2020-12-31,39.94,$-1.21,0.0
2020-09-30,40.81,$-0.06,0.0
2020-06-30,48.92,$1.74,28.11
2020-03-31,42.39,$1.37,30.94
2019-12-31,45.34,$1.07,42.37
2019-09-30,48.85,$1.81,26.99
2019-06-30,41.44,$0.65,63.75
2019-03-31,41.7,$0.84,49.65
2018-12-31,33.42,$0.94,35.56
2018-09-30,61.07,$0.86,71.01
2018-06-30,62.73,$1.66,37.79
2018-03-31,71.52,$0.91,78.59
2017-12-31,74.62,$0.84,88.83
2017-09-30,72.34,$-9.16,0.0
2017-06-30,64.4,$-18.23,0.0
2017-03-31,56.49,$-16.39,0.0
2016-12-31,70.67,$-19.23,0.0
2016-09-30,78.27,$-10.49,0.0
2016-06-30,76.73,$-0.96,0.0
2016-03-31,108.1,$-1.93,0.0
2015-12-31,122.13,$-0.26,0.0
2015-09-30,132.63,$0.99,133.97
2015-06-30,155.77,$0.94,165.71
2015-03-31,139.43,$0.56,248.98
2014-12-31,140.67,$1.59,88.47
2014-09-30,126.31,$0.21,601.45
2014-06-30,122.49,$0.67,182.83
2014-03-31,129.87,$0.67,193.84
2013-12-31,128.78,$1.49,86.43
2013-09-30,103.48,$3.48,29.74
2013-06-30,101.41,$3.42,29.65
2013-03-31,99.44,$3.42,29.07
2012-12-31,87.05,$3.47,25.09
2012-09-30,97.12,$3.41,28.48
2012-06-30,98.52,$3.04,32.41
2012-03-31,86.24,$3.04,28.37
2011-12-31,81.16,$2.76,29.41
2011-09-30,80.93,$2.67,30.31
2011-06-30,73.18,$2.72,26.9
2011-03-31,66.17,$2.72,24.33
2010-12-31,52.64,$2.43,21.66
2010-09-30,53.32,$2.01,26.53
2010-06-30,49.0,$1.87,26.2
2010-03-31,48.65,$1.87,26.02
2009-12-31,32.96,$1.70,19.39
