UniQure PE Ratio Historical Data,UniQure PE Ratio Historical Data,UniQure PE Ratio Historical Data,UniQure PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.93,,0.0
2024-12-31,17.66,$-4.93,0.0
2024-09-30,4.93,$-4.96,0.0
2024-06-30,4.48,$-5.93,0.0
2024-03-31,5.2,$-6.21,0.0
2023-12-31,6.77,$-6.48,0.0
2023-09-30,6.71,$-4.80,0.0
2023-06-30,11.46,$-3.94,0.0
2023-03-31,20.14,$-3.34,0.0
2022-12-31,22.67,$-2.71,0.0
2022-09-30,18.76,$-2.69,0.0
2022-06-30,18.64,$-2.46,0.0
2022-03-31,18.07,$6.89,2.62
2021-12-31,20.74,$6.98,2.97
2021-09-30,32.01,$6.80,4.71
2021-06-30,30.8,$6.38,4.83
2021-03-31,33.69,$-3.09,0.0
2020-12-31,36.13,$-2.81,0.0
2020-09-30,36.83,$-3.77,0.0
2020-06-30,45.06,$-3.14,0.0
2020-03-31,47.45,$-3.01,0.0
2019-12-31,71.66,$-3.12,0.0
2019-09-30,39.36,$-2.74,0.0
2019-06-30,78.15,$-2.75,0.0
2019-03-31,59.65,$-2.49,0.0
2018-12-31,28.82,$-2.34,0.0
2018-09-30,36.39,$-2.66,0.0
2018-06-30,37.8,$-2.47,0.0
2018-03-31,23.5,$-2.73,0.0
2017-12-31,19.59,$-2.94,0.0
2017-09-30,9.6,$-2.61,0.0
2017-06-30,6.19,$-2.81,0.0
2017-03-31,5.78,$-2.96,0.0
2016-12-31,5.6,$-3.08,0.0
2016-09-30,7.65,$-3.14,0.0
2016-06-30,7.37,$-3.74,0.0
2016-03-31,11.88,$-3.72,0.0
2015-12-31,16.54,$-3.55,0.0
2015-09-30,20.45,$-2.91,0.0
2015-06-30,27.0,$-2.34,0.0
2015-03-31,24.32,$-2.05,0.0
2014-12-31,14.81,$-2.01,0.0
