Evolus PE Ratio Historical Data,Evolus PE Ratio Historical Data,Evolus PE Ratio Historical Data,Evolus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.25,,0.0
2024-12-31,11.04,$-0.81,0.0
2024-09-30,16.2,$-0.91,0.0
2024-06-30,10.85,$-0.91,0.0
2024-03-31,14.0,$-1.05,0.0
2023-12-31,10.53,$-1.09,0.0
2023-09-30,9.14,$-1.11,0.0
2023-06-30,7.27,$-1.17,0.0
2023-03-31,8.46,$-1.27,0.0
2022-12-31,7.51,$-1.32,0.0
2022-09-30,8.05,$-1.42,0.0
2022-06-30,11.6,$-1.41,0.0
2022-03-31,11.22,$-1.30,0.0
2021-12-31,6.51,$-0.83,0.0
2021-09-30,7.62,$-3.78,0.0
2021-06-30,12.65,$-3.77,0.0
2021-03-31,12.99,$-4.09,0.0
2020-12-31,3.36,$-4.84,0.0
2020-09-30,3.91,$-2.03,0.0
2020-06-30,5.3,$-2.67,0.0
2020-03-31,4.15,$-3.41,0.0
2019-12-31,12.17,$-3.22,0.0
2019-09-30,15.62,$-3.21,0.0
2019-06-30,14.62,$-2.71,0.0
2019-03-31,22.57,$-2.03,0.0
2018-12-31,11.9,$-1.93,0.0
