DocGo PE Ratio Historical Data,DocGo PE Ratio Historical Data,DocGo PE Ratio Historical Data,DocGo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.76,,16.24
2024-12-31,4.24,$0.17,24.94
2024-09-30,3.32,$0.28,11.86
2024-06-30,3.09,$0.28,11.04
2024-03-31,4.04,$0.20,20.2
2023-12-31,5.59,$0.07,79.86
2023-09-30,5.33,$0.09,59.22
2023-06-30,9.37,$0.07,133.86
2023-03-31,8.65,$0.20,43.25
2022-12-31,7.07,$0.32,22.09
2022-09-30,9.92,$0.44,22.55
2022-06-30,7.14,$0.41,17.41
2022-03-31,9.25,$0.30,30.83
2021-12-31,9.35,$0.21,44.52
2021-09-30,9.96,0,0.0
