Assembly Biosciences PE Ratio Historical Data,Assembly Biosciences PE Ratio Historical Data,Assembly Biosciences PE Ratio Historical Data,Assembly Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.69,,0.0
2024-09-30,15.14,$-5.15,0.0
2024-06-30,13.72,$-6.88,0.0
2024-03-31,13.3,$-8.74,0.0
2023-12-31,9.84,$-11.52,0.0
2023-09-30,10.62,$-17.05,0.0
2023-06-30,13.8,$-19.57,0.0
2023-03-31,10.08,$-21.85,0.0
2022-12-31,15.6,$-23.17,0.0
2022-09-30,19.68,$-34.09,0.0
2022-06-30,25.2,$-33.25,0.0
2022-03-31,24.72,$-33.73,0.0
2021-12-31,27.96,$-36.25,0.0
2021-09-30,41.76,$-33.13,0.0
2021-06-30,46.56,$-29.29,0.0
2021-03-31,55.2,$-20.41,0.0
2020-12-31,72.6,$-21.25,0.0
2020-09-30,197.28,$-19.81,0.0
2020-06-30,279.84,$-30.25,0.0
2020-03-31,177.96,$-41.18,0.0
2019-12-31,245.52,$-44.66,0.0
2019-09-30,117.96,$-45.14,0.0
2019-06-30,161.88,$-44.06,0.0
2019-03-31,236.28,$-51.02,0.0
2018-12-31,271.44,$-48.02,0.0
2018-09-30,445.68,$-37.57,0.0
2018-06-30,470.52,$-35.65,0.0
2018-03-31,589.68,$-29.41,0.0
2017-12-31,543.0,$-29.53,0.0
2017-09-30,419.04,$-35.65,0.0
2017-06-30,247.8,$-35.17,0.0
2017-03-31,305.88,$-32.89,0.0
2016-12-31,145.8,$-30.85,0.0
2016-09-30,86.52,$-28.21,0.0
2016-06-30,66.6,$-24.73,0.0
2016-03-31,60.24,$-22.57,0.0
2015-12-31,90.12,$-22.57,0.0
2015-09-30,114.72,$-21.73,0.0
2015-06-30,231.12,$-33.13,0.0
2015-03-31,158.88,$-34.45,0.0
2014-12-31,94.32,$-26.77,0.0
2014-09-30,98.28,$-22.21,0.0
2014-06-30,78.6,$-6.24,0.0
2014-03-31,76.5,$-14.41,0.0
2013-12-31,229.2,$-27.61,0.0
2013-09-30,173.4,$-27.61,0.0
2013-06-30,144.0,$-52.22,0.0
2013-03-31,179.4,$-73.23,0.0
2012-12-31,129.6,$-99.64,0.0
2012-09-30,214.8,$-99.64,0.0
2012-06-30,256.2,$-105.04,0.0
2012-03-31,598.2,$-355.34,0.0
2011-12-31,480.48,$-338.54,0.0
2011-09-30,541.8,$-338.54,0.0
