Patria Investments PE Ratio Historical Data,Patria Investments PE Ratio Historical Data,Patria Investments PE Ratio Historical Data,Patria Investments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.84,,27.53
2024-09-30,11.17,$0.43,25.98
2024-06-30,12.06,$0.54,22.33
2024-03-31,14.84,$0.78,19.03
2023-12-31,15.51,$0.81,19.15
2023-09-30,14.58,$0.81,18.0
2023-06-30,14.3,$0.77,18.57
2023-03-31,14.8,$0.63,23.49
2022-12-31,13.93,$0.63,22.11
2022-09-30,13.05,$0.41,31.83
2022-06-30,13.06,$0.49,26.65
2022-03-31,17.38,$0.92,18.89
2021-12-31,15.65,$0.90,17.39
