Bausch Health Cos PE Ratio Historical Data,Bausch Health Cos PE Ratio Historical Data,Bausch Health Cos PE Ratio Historical Data,Bausch Health Cos PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.13,,0.0
2024-12-31,8.06,$-0.12,0.0
2024-09-30,8.16,$-0.48,0.0
2024-06-30,6.97,$-1.28,0.0
2024-03-31,10.61,$-1.24,0.0
2023-12-31,8.02,$-1.62,0.0
2023-09-30,8.22,$-2.64,0.0
2023-06-30,8.0,$-0.51,0.0
2023-03-31,8.1,$-0.98,0.0
2022-12-31,6.28,$-0.62,0.0
2022-09-30,6.89,$0.70,9.84
2022-06-30,8.36,$0.12,69.67
2022-03-31,22.85,$-1.14,0.0
2021-12-31,27.61,$-2.66,0.0
2021-09-30,27.85,$-3.28,0.0
2021-06-30,29.32,$-3.60,0.0
2021-03-31,31.74,$-2.86,0.0
2020-12-31,20.8,$-1.58,0.0
2020-09-30,15.54,$-5.45,0.0
2020-06-30,18.29,$-5.79,0.0
2020-03-31,15.5,$-5.36,0.0
2019-12-31,29.92,$-5.08,0.0
2019-09-30,21.85,$-1.76,0.0
2019-06-30,25.22,$-2.62,0.0
