Kinsale Capital PE Ratio Historical Data,Kinsale Capital PE Ratio Historical Data,Kinsale Capital PE Ratio Historical Data,Kinsale Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,459.02,,25.8
2024-12-31,465.13,$17.79,26.15
2024-09-30,465.43,$17.54,26.54
2024-06-30,385.05,$15.90,24.22
2024-03-31,524.42,$15.05,34.85
2023-12-31,334.61,$13.21,25.33
2023-09-30,413.6,$11.68,35.41
2023-06-30,373.58,$9.85,37.93
2023-03-31,299.52,$7.90,37.91
2022-12-31,260.86,$6.88,37.92
2022-09-30,254.66,$6.07,41.95
2022-06-30,228.84,$6.23,36.73
2022-03-31,227.1,$6.61,34.36
2021-12-31,236.78,$6.62,35.77
2021-09-30,160.86,$6.18,26.03
2021-06-30,163.81,$5.24,31.26
2021-03-31,163.73,$5.02,32.62
2020-12-31,198.71,$3.85,51.61
2020-09-30,188.76,$2.99,63.13
2020-06-30,153.98,$2.92,52.73
2020-03-31,103.64,$2.22,46.68
2019-12-31,100.72,$2.86,35.22
2019-09-30,102.27,$2.27,45.05
2019-06-30,90.49,$2.24,40.4
2019-03-31,67.76,$2.08,32.58
2018-12-31,54.84,$1.56,35.15
2018-09-30,63.03,$1.63,38.67
2018-06-30,54.09,$1.28,42.25
2018-03-31,50.54,$1.21,41.77
2017-12-31,44.24,$1.16,38.14
2017-09-30,42.39,$1.21,35.03
2017-06-30,36.57,$1.25,29.26
