Merck PE Ratio Historical Data,Merck PE Ratio Historical Data,Merck PE Ratio Historical Data,Merck PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,94.73,,14.08
2024-12-31,99.48,$6.73,14.78
2024-09-30,112.65,$4.77,23.62
2024-06-30,122.01,$5.39,22.64
2024-03-31,129.26,$0.90,143.62
2023-12-31,106.12,$0.14,758.0
2023-09-30,99.49,$1.80,55.27
2023-06-30,110.76,$1.22,90.79
2023-03-31,101.44,$5.12,19.81
2022-12-31,105.07,$5.71,18.4
2022-09-30,81.03,$6.01,13.48
2022-06-30,85.1,$6.53,13.03
2022-03-31,75.97,$5.59,13.59
2021-12-31,70.34,$5.14,13.68
2021-09-30,68.29,$2.83,24.13
2021-06-30,70.08,$2.19,32.0
2021-03-31,68.87,$2.76,24.95
2020-12-31,72.45,$2.77,26.16
2020-09-30,72.88,$4.52,16.12
2020-06-30,67.45,$4.10,16.45
2020-03-31,66.58,$3.95,16.86
2019-12-31,78.08,$3.81,20.49
2019-09-30,71.78,$3.58,20.05
2019-06-30,71.03,$3.57,19.9
2019-03-31,69.99,$3.17,22.08
2018-12-31,63.87,$2.32,27.53
2018-09-30,58.87,$1.31,44.94
2018-06-30,50.03,$0.56,89.34
2018-03-31,44.55,$0.64,69.61
2017-12-31,45.62,$0.93,49.05
2017-09-30,51.47,$1.67,30.82
2017-06-30,51.16,$2.47,20.71
2017-03-31,50.34,$2.19,22.99
2016-12-31,46.3,$2.03,22.81
2016-09-30,48.72,$1.96,24.86
2016-06-30,44.64,$1.82,24.53
2016-03-31,40.66,$1.63,24.95
2015-12-31,40.25,$1.56,25.8
2015-09-30,37.3,$3.75,9.95
2015-06-30,42.63,$3.42,12.46
2015-03-31,42.72,$3.86,11.07
2014-12-31,41.87,$4.10,10.21
2014-09-30,43.37,$1.82,23.83
2014-06-30,42.02,$1.89,22.23
2014-03-31,40.93,$1.51,27.1
2013-12-31,35.8,$1.46,24.52
2013-09-30,33.75,$1.66,20.33
2013-06-30,32.63,$1.84,17.73
2013-03-31,30.77,$2.12,14.52
2012-12-31,28.23,$2.16,13.07
2012-09-30,30.8,$2.19,14.06
2012-06-30,28.25,$2.18,12.96
2012-03-31,25.7,$2.25,11.42
2011-12-31,24.96,$2.03,12.29
2011-09-30,21.39,$1.37,15.61
2011-06-30,22.81,$0.93,24.53
2011-03-31,21.11,$0.52,40.6
2010-12-31,22.78,$0.28,81.37
2010-09-30,23.03,$2.81,8.19
2010-06-30,21.65,$4.31,5.02
2010-03-31,22.87,$4.81,4.76
2009-12-31,22.15,$5.38,4.12
